emetteur,fiscal_year,report_year,publication_date,status,resultat_operationnel,resultat_net,chiffre_affaires,capitaux_propres,total_actif,dettes_totales,actifs_courants,passifs_courants,marge_operationnelle,marge_nette,roe,roa,ratio_endettement,autonomie_financiere,ratio_liquidite_generale
SOLIBRA,2020,2020,,ok,27415.0,17520.0,229359.0,126775.0,294111.0,167296.0,103170.0,61100.0,0.11952877366922597,0.07638679973316939,0.13819759416288702,0.05956934626722564,1.3196292644448826,0.4310447416111604,1.688543371522095
SOLIBRA,2021,2021,,ok,35605.0,22020.0,299269.0,144022.0,316350.0,172327.0,124879.0,65362.0,0.11897323144061028,0.07357928819891135,0.1528933079668384,0.06960644855381698,1.1965324742053298,0.45526157736684053,1.9105749518068602
SOLIBRA,2022,2022,,ok,7112.0,1217.0,281880.0,137832.0,334102.0,196052.0,140452.0,63103.0,0.025230594579253585,0.004317440045409394,0.008829589645365373,0.003642600164021766,1.422398281966452,0.4125446719863994,2.225757887897564
SOLIBRA,2023,2023,,ok,16807.0,15078.0,311395.0,152909.0,327698.0,174674.0,149997.0,49868.0,0.05397324940991345,0.04842081600539508,0.09860766861335828,0.046011876788994745,1.1423395614385026,0.466615603390927,3.0078808053260606
SOLIBRA,2024,2024,,ok,34735.0,21472.0,309722.0,169443.0,307546.0,138101.0,136455.0,60888.0,0.1121489593893879,0.06932668651242081,0.12672108024527423,0.06981719807768594,0.8150292428722343,0.5509517275464484,2.2410819865983447
SUCRIVOIRE,2019,2019,,ok,1134469638.0,5339115749.0,,42109477925.0,63207143620.0,21097665695.0,2367727964.0,7951945031.0,,,0.12679130713777426,0.08447013174806078,0.5010194078534161,0.6662139042093294,0.29775456882179246
SUCRIVOIRE,2020,2020,,ok,4403668971.0,1788178233.0,1166622915.0,43897656158.0,94559887990.0,43634235082.0,45275472974.0,32615266469.0,3.77471496091777,1.5327816812170194,0.04073516423209121,0.01891053670864231,0.9939991995232759,0.4642312622307919,1.3881681149848404
SUCRIVOIRE,2021,2021,,ok,2715412080.0,6572600809.0,,36443055349.0,107246529979.0,37847525734.0,39919102864.0,26401282847.0,,,0.18035262812233863,0.06128497407130081,1.038538766070791,0.33980638213782705,1.5120137568821221
SUCRIVOIRE,2022,2022,,ok,4860967440.0,8755668861.0,68635110937.0,27687386488.0,124042067779.0,96354681291.0,42276878390.0,37333577041.0,0.0708233347865041,0.1275683646674194,0.31623312893020067,0.07058628590906409,3.4800930500522727,0.22320964962732912,1.1324089932119612
SUCRIVOIRE,2023,2023,,ok,4911844712.0,10324162375.0,68134693800.0,17363224113.0,97948419482.0,80585195369.0,35788611960.0,44708567342.0,0.07209021480918433,0.1515257763585928,0.594599384757708,0.10540407318055064,4.641142384879151,0.17726905860069384,0.8004866648093096
SUCRIVOIRE,2024,2024,,ok,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,
TOTAL,2020,2020,,ok,7982.0,7648.0,416080.0,44637.0,128146.0,74658.0,58961.0,70337.0,0.019183810805614303,0.018381080561430493,0.17133767950355086,0.05968192530395018,1.6725586396935277,0.3483292494498463,0.8382643558866599
TOTAL,2021,2021,,ok,16088.0,11143.0,494433.0,48133.0,156297.0,103410.0,78353.0,91927.0,0.03253828122313843,0.0225369261355937,0.23150437329898407,0.07129375483854457,2.148422080485322,0.30795856606332817,0.8523393562283116
TOTAL,2022,2022,,ok,16509.0,12279.0,573130.0,11143.0,159651.0,110381.0,85786.0,93336.0,0.02880498316263326,0.021424458674297278,1.101947410930629,0.07691151323825093,9.905860181279728,0.06979599250865952,0.9191094540155995
TOTAL,2023,2023,,ok,12087.0,8709.0,578922.0,45699.0,167625.0,119641.0,93726.0,103635.0,0.020878460310715434,0.015043477359644305,0.1905730978796035,0.051955257270693514,2.618022276198604,0.27262639821029083,0.9043855840208423
TOTAL,2024,2024,,ok,10491.0,9374.0,621042.0,41115.0,191526.0,147891.0,106956.0,125527.0,0.01689257731361164,0.0150939872021538,0.2279946491548097,0.04894374654093961,3.5970083910981394,0.21467059302653427,0.8520557330295474
TRACTAFRIC CI,2021,2021,,ok,,3067.0,65019.0,9837.0,37716.0,22570.0,27633.0,24218.0,,0.04717082698903397,0.3117820473721663,0.08131827341181462,2.294398698790282,0.2608176901049952,1.1410108183995376
TRACTAFRIC CI,2022,2022,,ok,,3644.0,70092.0,11480.0,52169.0,36183.0,36898.0,37527.0,,0.051988814700679106,0.31742160278745646,0.06984991086660661,3.151829268292683,0.22005405509018766,0.9832387347776268
TRACTAFRIC CI,2023,2023,,ok,,2084.0,77879.0,11015.0,51246.0,36905.0,0.0,34293.0,,0.02675946018824073,0.18919655015887427,0.04066658861179409,3.350431230140717,0.21494360535456425,0.0
UNIWAX CI,2019,2019,,ok,4318973894.0,1291581494.0,40166658390.0,18212347436.0,38293838977.0,16987417439.0,432992852.0,15074501853.0,0.10752634316912117,0.03215556249313375,0.07091790328175683,0.03372818000242149,0.9327417840393982,0.4755947150385909,0.028723526403881094
UNIWAX CI,2021,2021,,ok,1984939431.0,1400692889.0,38191193639.0,414479350.0,37292681535.0,14769302048.0,2926299973.0,13611744394.0,0.05197374687375636,0.03667580809963592,3.379403314061364,0.03755945754894077,35.63338450516292,0.011114227589426682,0.21498346488859288
VIVO ENERGY CI,2019,2019,,ok,8088398931.0,5465466175.0,3.5425245106134775e+23,0.0,9.638850234910013e+22,56207193609.0,6.526724452181045e+19,43668583053.0,2.283230195519322e-14,1.5428167564191438e-14,,5.6702470126625274e-14,,0.0,1494604128.6156785
VIVO ENERGY CI,2021,2021,,ok,4268901912.0,2359622661.0,366643579663.0,500376822.0,101262735128.0,67133730036.0,43810997944.0,48939413906.0,0.011643192868463034,0.0064357397534926,4.71569136949353,0.02330198426911288,134.16634641002616,0.0049413717826948325,0.8952088806815226
VIVO ENERGY CI,2022,2022,,ok,4363474241.0,3548638458.0,488901792280.0,3548638458.0,119461700193.0,96547661925.0,59723429880.0,79528604069.0,0.008925052658634938,0.007258387091302892,1.0,0.029705239857350837,27.206959251468497,0.029705239857350837,0.7509679137355814
VIVO ENERGY CI,2023,2023,,ok,-2878718772.0,-1795925285.0,550696009519.0,7161602748.0,169830273541.0,51074938024.0,49890581130.0,37465700672.0,-0.005227418979328338,-0.003261191753629436,-0.25077141921918844,-0.010574824190967532,7.131774802541728,0.042169176311613626,1.3316334736877278
