emetteur,fiscal_year,report_year,publication_date,status,status_reason,diagnostic,core_metrics_count,report_title,report_url,resultat_operationnel,resultat_net,chiffre_affaires,capitaux_propres,total_actif,dettes_totales,actifs_courants,passifs_courants,marge_operationnelle,marge_nette,roe,roa,ratio_endettement,autonomie_financiere,ratio_liquidite_generale,company_url,truth_status,truth_reason
SOGB,2020,2021.0,2021-07-06,ok,,,6,SOGB CI : Etats financiers certifiés et approuvés - exercice 2020,https://www.brvm.org/sites/default/files/20210706_-_etats_financiers_certifie_et_approuves_-_sogb_ci.pdf,11218699.0,7652581.0,,3024258.0,11608629.0,8584371.0,24306540.0,,,,2.530399522792037,0.6592148823086689,2.8385048497846412,0.2605181025252853,,https://www.brvm.org/fr/rapports-societe-cotes/sogb,verified_like,passes_rule_checks
SOGB,2021,2022.0,2022-04-29,ok,,,7,SOGB CI : Etats financiers exercice 2021,https://www.brvm.org/sites/default/files/20220429_-_etats_financiers_exercice_2021_-_sogb_ci.pdf,20581153.0,14728280.0,,51502356.0,65546085.0,14043729.0,30614612.0,7926984.0,,,0.2859729368497239,0.2247011396637953,0.272681292483008,0.7857426725028658,3.86207566459072,https://www.brvm.org/fr/rapports-societe-cotes/sogb,verified_like,passes_rule_checks
SOGB,2022,2023.0,2023-04-24,ok,,,7,SOGB CI : États financiers exercice 2022,https://www.brvm.org/sites/default/files/20230424_-_etats_financiers_exercice_2022_-_sogb_ci.pdf,21852242.0,15652983.0,,13004308.0,19385799.0,6381491.0,26983990.0,2749889.0,,,1.2036767354325966,0.807445852502649,0.4907213055858105,0.6708161990124833,9.812756078518078,https://www.brvm.org/fr/rapports-societe-cotes/sogb,verified_like,passes_rule_checks
SOGB,2023,2024.0,2024-04-29,ok,,,7,SOGB CI : Etats financiers - Exercice 2023,https://www.brvm.org/sites/default/files/20240429_-_etats_financiers_-_exercice_2023_-_sogb_ci.pdf,7678013.0,5270303.0,,13393141.0,19326183.0,5933042.0,23522774.0,730690.0,,,0.3935076170705587,0.2727027370070955,0.4429910802850504,0.6930049767199244,32.19254950799929,https://www.brvm.org/fr/rapports-societe-cotes/sogb,verified_like,passes_rule_checks
SOGB,2024,2025.0,2025-04-30,ok,,,7,SOGB CÔTE D'IVOIRE : Etats financiers - Exercice 2024,https://www.brvm.org/sites/default/files/20250430_-_etats_financiers_-_exercice_2024_-_sogb_ci.pdf,18383382.0,13110790.0,,5177907.0,5841575.0,663668.0,25682184.0,654345.0,,,2.5320636311158156,2.244392993327998,0.128173024351345,0.8863888591689741,39.24868991128533,https://www.brvm.org/fr/rapports-societe-cotes/sogb,verified_like,passes_rule_checks
SOLIBRA,2020,2021.0,2021-05-04,ok,,,8,SOLIBRA CÔTE D'IVOIRE : Etats Financiers - Exercice 2020,https://www.brvm.org/sites/default/files/20210504_-_etats_financiers_-_exercice_2020_-_solibra_ci.pdf,27415.0,17520.0,229359.0,126775.0,294111.0,167296.0,103170.0,61100.0,0.1195287736692259,0.0763867997331693,0.138197594162887,0.0595693462672256,1.3196292644448826,0.4310447416111604,1.688543371522095,https://www.brvm.org/fr/rapports-societe-cotes/solibra,verified_like,passes_rule_checks
SOLIBRA,2021,2022.0,2022-06-03,ok,,,8,SOLIBRA CI : Etats financiers Exercice 2021,https://www.brvm.org/sites/default/files/20220603_-_etats_financiers_exercice_2021_-_solibra.pdf,35605.0,22020.0,299269.0,144022.0,316350.0,172327.0,124879.0,65362.0,0.1189732314406102,0.0735792881989113,0.1528933079668384,0.0696064485538169,1.1965324742053298,0.4552615773668405,1.91057495180686,https://www.brvm.org/fr/rapports-societe-cotes/solibra,verified_like,passes_rule_checks
SOLIBRA,2022,2023.0,2023-05-12,ok,,,8,SOLIBRA CI : Etats financiers exercice 2022,https://www.brvm.org/sites/default/files/20230512_-_etats_financiers_exercice_2022_-_solibra_ci.pdf,7112.0,1217.0,281880.0,137832.0,334102.0,196052.0,140452.0,63103.0,0.0252305945792535,0.0043174400454093,0.0088295896453653,0.0036426001640217,1.422398281966452,0.4125446719863994,2.225757887897564,https://www.brvm.org/fr/rapports-societe-cotes/solibra,verified_like,passes_rule_checks
SOLIBRA,2023,2024.0,2024-05-13,ok,,,8,SOLIBRA CI : Etats financiers de synthèse - Exercice 2023,https://www.brvm.org/sites/default/files/20240513_-_etats_financiers_de_synthese_-_exercice_2023_-_solibra_ci.pdf,16807.0,15078.0,311395.0,152909.0,327698.0,174674.0,149997.0,49868.0,0.0539732494099134,0.048420816005395,0.0986076686133582,0.0460118767889947,1.1423395614385026,0.466615603390927,3.0078808053260606,https://www.brvm.org/fr/rapports-societe-cotes/solibra,verified_like,passes_rule_checks
SONATEL,2025,2026.0,2026-02-16,ok,,,6,SONATEL SN : Etats financiers et attestation des Commissaires Aux Comptes – Exercice 2025,https://www.brvm.org/sites/default/files/20260216_-_etats_financiers_2025_et_attestation_des_cac_-_sonatel_sn.pdf,669792000000.0,413588000000.0,1923122000000.0,1399263.0,,,1644154.0,1567737.0,0.3482836762306291,0.2150607189767472,295575.59944056266,,,,1.0487435073612474,https://www.brvm.org/fr/rapports-societe-cotes/sonatel,verified_like,passes_rule_checks
