publication_status,core_metrics_present,missing_core_metrics,all_metrics_present,missing_all_metrics,has_all_core_metrics,has_all_metrics,balance_sheet_gap_pct,suspicious_flags,emetteur,fiscal_year,report_year,publication_date,status,status_reason,diagnostic,core_metrics_count,report_title,report_url,resultat_operationnel,resultat_net,chiffre_affaires,capitaux_propres,total_actif,dettes_totales,actifs_courants,passifs_courants,marge_operationnelle,marge_nette,roe,roa,ratio_endettement,autonomie_financiere,ratio_liquidite_generale,company_url,truth_status,truth_reason
review,7,1,12,3,False,False,0.0,extreme_roe,NESTLE CI,2023,2024.0,2024-05-21,ok,,,7,NESTLE CI : Etats financiers - Exercice 2023,https://www.brvm.org/sites/default/files/20240521_-_etats_financiers_-_exercice_2023_-_nestle_ci.pdf,30164175277.0,16556698463.0,,5517600000.0,170579374762.0,165061774762.0,93269187627.0,59842981751.0,,,3.000706550492968,0.0970615497102193,29.91550216797158,0.0323462318213934,1.5585651800420428,https://www.brvm.org/fr/rapports-societe-cotes/nestle-ci,verified_like,passes_rule_checks
review,8,0,15,0,True,True,0.681657722343988,,ONATEL BF,2025,2026.0,2026-04-09,ok,,,8,ONATEL BURKIN FASO - Etats financiers - Exercice 2025,https://www.brvm.org/sites/default/files/20260409_-_etats_financiers_-_exercice_2025_-_onatel_bf.pdf,25665215120.0,15886921152.0,146176657128.0,57541603762.0,826786578374.0,205659518733.0,82298442903.0,147863552993.0,0.1755767003039766,0.1086830241171035,0.2760945144614059,0.0192152625206422,3.5741012639070004,0.0695966834333041,0.5565836965036007,https://www.brvm.org/fr/rapports-societe-cotes/onatel-bf,needs_review,balance_sheet_gap_gt_10pct
review,5,3,8,7,False,False,,,ORAGROUP,2022,2023.0,2023-04-26,ok,,,5,ORAGROUP TOGO : Etats financiers Exercice 2022,https://www.brvm.org/sites/default/files/20230426_-_etats_financiers_exercice_2022_-_oragroup_tg.pdf,24928.0,19199.0,222431.0,105279271414.0,,,225265.0,,0.1120707095683605,0.0863144076140466,1.8236258422136965e-07,,,,,https://www.brvm.org/fr/rapports-societe-cotes/oragroup,verified_like,passes_rule_checks
review,5,3,8,7,False,False,,,ORAGROUP,2023,2024.0,2024-04-29,ok,,,5,ORAGROUP TOGO : Etats financiers - Exercice 2023,https://www.brvm.org/sites/default/files/20240429_-_etats_financiers_-_exercice_2023_-_oragroup_togo.pdf,-32255.0,-18186.0,215280.0,109239219667.0,,,196553.0,,-0.1498281308063916,-0.0844760312151616,-1.6647866998169153e-07,,,,,https://www.brvm.org/fr/rapports-societe-cotes/oragroup,verified_like,passes_rule_checks
review,8,0,15,0,True,True,0.5184628277835239,,ORANGE CI,2022,2023.0,2023-02-14,ok,,,8,ORANGE CI : Etats financiers Consolidés exercice 2022,https://www.brvm.org/sites/default/files/20230214_-_etats_financiers_consolides_exercice_2022_-_orange_ci.pdf,260834.0,153485.0,965025.0,642547.0,2017757.0,329078.0,399056.0,329078.0,0.2702872982565218,0.1590476930649465,0.2388696857973035,0.0760671379160126,0.5121461931967622,0.318446175629672,1.2126486729589945,https://www.brvm.org/fr/rapports-societe-cotes/orange-ci,needs_review,balance_sheet_gap_gt_10pct
review,8,0,15,0,True,True,0.4438374546143357,,ORANGE CI,2023,2024.0,2024-02-21,ok,,,8,ORANGE CI : Etats financiers - Exercice 2023,https://www.brvm.org/sites/default/files/20240221_-_resultats_financiers_consolides_2023_-_orange_ci.pdf,258.0,154.9,1016.5,627178.0,2074719.0,526703.0,475016.0,526703.0,0.2538121003443187,0.1523856369896704,0.0002469793264432,7.466071308933885e-05,0.8397982709852705,0.3022953951836369,0.9018668965242272,https://www.brvm.org/fr/rapports-societe-cotes/orange-ci,needs_review,balance_sheet_gap_gt_10pct
review,8,0,15,0,True,True,0.6881468970594604,,ORANGE CI,2024,2025.0,2025-02-21,ok,,,8,ORANGE CÔTE D'IVOIRE : Etats financiers - Exercice 2024,https://www.brvm.org/sites/default/files/20250221_-_etats_financiers_-_exercice_2024_-_orange_ci.pdf,263.2,158.2,1084.1,713.8,2309.1,6.3,5.5,6.3,0.2427820311779356,0.1459274974633336,0.2216307088820397,0.0685115412931445,0.0088260016811431,0.3091247672253259,0.873015873015873,https://www.brvm.org/fr/rapports-societe-cotes/orange-ci,needs_review,balance_sheet_gap_gt_10pct
review,8,0,15,0,True,True,0.7204103206608982,,ORANGE CI,2025,2026.0,2026-02-17,ok,,,8,ORANGE CI : Etats financiers - Exercice 2025,https://www.brvm.org/sites/default/files/20260217_-_etats_financiers_-_exercice_2025_-_orange_ci.pdf,287.2,167.8,1197.1,707.8,2554.1,6.3,5.5,6.3,0.2399131233815053,0.1401720825327876,0.2370726193840068,0.0656982890254884,0.0089008194405199,0.2771230570455346,0.873015873015873,https://www.brvm.org/fr/rapports-societe-cotes/orange-ci,needs_review,balance_sheet_gap_gt_10pct
review,8,0,15,0,True,True,0.0,extreme_roe,SAPH CI,2020,2021.0,2021-04-23,ok,,,8,SAPH CÔTE D'IVOIRE : Etats Financiers - Exercice 2020,https://www.brvm.org/sites/default/files/20210423_-_etats_financiers_-_exercice_2020_-_saph_ci.pdf,10954030372.0,7493033989.0,158789037442.0,84004628.0,157131875799.0,157047871171.0,59642514092.0,20435528108.0,0.0689848024048959,0.0471886101818391,89.19787120538169,0.0476862759443217,1869.5145125932825,0.0005346122648434,2.918569746609653,https://www.brvm.org/fr/rapports-societe-cotes/saph-ci,verified_like,passes_rule_checks
review,8,0,15,0,True,True,0.0,extreme_roe,SAPH CI,2021,2022.0,2022-08-23,ok,,,8,SAPH CI : États financiers certifiés et approuvé - Exercice 2021,https://www.brvm.org/sites/default/files/20220823_-_etats_financiers_certifies_et_approuves_-_saph_ci.pdf,27558059338.0,20750470464.0,208794460641.0,8649304155.0,73120333971.0,64471029816.0,72767075511.0,22857875907.0,0.1319865443431623,0.0993822843781197,2.399091313259523,0.2837852254918552,7.453897869776092,0.1182886303340787,3.183457457161004,https://www.brvm.org/fr/rapports-societe-cotes/saph-ci,verified_like,passes_rule_checks
review,8,0,15,0,True,True,0.0,extreme_roe,SAPH CI,2022,2023.0,2023-08-02,ok,,,8,SAPH CI: Etats financiers certifiés et approuvés - Exercice 2022,https://www.brvm.org/sites/default/files/20230802_-_etats_financiers_certifies_et_approuves_-_exercice_2022_-_saph_ci.pdf,26283237143.0,16700611131.0,224421228771.0,8649304155.0,82396462858.0,73747158703.0,71580787750.0,31646046844.0,0.1171156458189589,0.0744163607982083,1.930861816363076,0.2026860201484791,8.526368986615894,0.1049717895039498,2.261918782553136,https://www.brvm.org/fr/rapports-societe-cotes/saph-ci,verified_like,passes_rule_checks
review,8,0,15,0,True,True,0.0,extreme_roe,SAPH CI,2024,2025.0,2025-03-19,ok,,,8,SAPH CÔTE D'IVOIRE : Etats financiers certifiés par les Commissaires Aux Comptes - Exercice 2024,https://www.brvm.org/sites/default/files/20250319_-_etats_financiers_certifies_par_les_cacs_-_exercice_2024_-_saph_ci.pdf,29445590532.0,18790217905.0,279437727425.0,8649304155.0,230857468705.0,222208164550.0,99086053335.0,32917169803.0,0.1053744274380526,0.0672429527614277,2.1724542886074514,0.0813931557441227,25.690871839851493,0.0374659923437541,3.0101632044310658,https://www.brvm.org/fr/rapports-societe-cotes/saph-ci,verified_like,passes_rule_checks
review,8,0,15,0,True,True,0.0,extreme_roe,SAPH CI,2025,2026.0,2026-03-18,ok,,,8,SAPH CI - Etats financiers SYSCOHADA - Exercice 2025,https://www.brvm.org/sites/default/files/20260318_-_etats_financiers_syscohada_-_exercice_2025_-_saph_ci.pdf,38134121165.0,24972070150.0,340830548704.0,8649304155.0,96555131405.0,87905827250.0,1016146221799.0,36225398864.0,0.11188586618777,0.0732682860880742,2.8871767835293567,0.2586301710393286,10.163340966473388,0.0895789175483645,28.05065654663705,https://www.brvm.org/fr/rapports-societe-cotes/saph-ci,verified_like,passes_rule_checks
