emetteur,fiscal_year,report_year,publication_date,status,status_reason,diagnostic,core_metrics_count,report_title,report_url,resultat_operationnel,resultat_net,chiffre_affaires,capitaux_propres,total_actif,dettes_totales,actifs_courants,passifs_courants,marge_operationnelle,marge_nette,roe,roa,ratio_endettement,autonomie_financiere,ratio_liquidite_generale,company_url,truth_status,truth_reason
BANK OF AFRICA BN,2021,2022.0,2022-03-22,ok,,,7,BOA BENIN : États financiers exercice 2021,https://www.brvm.org/sites/default/files/20220322_-_etats_financiers_exercice_2021_-_boa_bn.pdf,20406754098.0,16663938680.0,45259365692.0,89836969716.0,9.027921345448844e+23,9.027921345447946e+23,3.054045761227541e+21,,0.4508846685318676,0.3681876320008944,0.1854908812338551,1.84582231527755e-14,10049227365958.305,9.951013780297125e-14,,https://www.brvm.org/fr/rapports-societe-cotes/bank-africa-bn,verified_like,passes_rule_checks
BANK OF AFRICA BN,2022,,,ok,,,7,BOA BENIN : Etats financiers 2022,https://www.brvm.org/sites/default/files/boa_bn_bilan_hors_bilan_et_compte_de_resultat_2022.pdf,23196758789.0,19143162703.0,46412884468.0,97192147880.0,884426057334.0,787233909454.0,27541120277.0,,0.499791362999499,0.4124536305473217,0.1969620295523815,0.0216447294200092,8.099768619435926,0.1098929040749596,,https://www.brvm.org/fr/rapports-societe-cotes/bank-africa-bn,verified_like,passes_rule_checks
BANK OF AFRICA BN,2023,,,missing_report,nearest_report_is_different_fiscal_year,fy=2022 pub=None title=BOA BENIN : Etats financiers 2022 [score=60],0,,,,,,,,,,,,,,,,,,https://www.brvm.org/fr/rapports-societe-cotes/bank-africa-bn,missing_or_error,missing_report
BANK OF AFRICA BN,2024,,,missing_report,nearest_report_is_different_fiscal_year,fy=2025 pub=2026 title=BOA BN : Etats financiers - Exercice 2025 [score=60],0,,,,,,,,,,,,,,,,,,https://www.brvm.org/fr/rapports-societe-cotes/bank-africa-bn,missing_or_error,missing_report
BANK OF AFRICA BN,2025,2026.0,2026-04-15,ok,,,7,BOA BN : Etats financiers - Exercice 2025,https://www.brvm.org/sites/default/files/20260415_-_etats_financiers_-_exercice_2025_-_boa_bn.pdf,21190621936.0,20107229743.0,51273938002.0,117506988771.0,964662725647.0,847155736876.0,12623737146.0,,0.4132825127489414,0.3921530221106811,0.1711151817717444,0.0208437925592222,7.209407250890875,0.1218114742561323,,https://www.brvm.org/fr/rapports-societe-cotes/bank-africa-bn,verified_like,passes_rule_checks
BANK OF AFRICA CI,2020,2021.0,2021-04-12,ok,,,7,BOA CÔTE D'IVOIRE : Etats Financiers - Exercice 2020,https://www.brvm.org/sites/default/files/20210412_-_etats_financiers_-_exercice_2020_-_boa_ci.pdf,14397.0,14382.0,35375.0,53113.0,608499.0,555386.0,16717.0,,0.406982332155477,0.4065583038869258,0.2707811646866115,0.0236352072887547,10.456686686875154,0.0872852708057038,,https://www.brvm.org/fr/rapports-societe-cotes/bank-africa-ci,verified_like,passes_rule_checks
BANK OF AFRICA CI,2021,,,missing_report,nearest_report_is_different_fiscal_year,fy=2022 pub=2023 title=BOA CI : Etats financiers exercice 2022 [score=60]; fy=2020 pub=2021 title=BOA CÔTE D'IVOIRE : Etats Financiers - Exercice 2020 [score=60],0,,,,,,,,,,,,,,,,,,https://www.brvm.org/fr/rapports-societe-cotes/bank-africa-ci,missing_or_error,missing_report
BANK OF AFRICA CI,2022,2023.0,2023-04-05,ok,,,7,BOA CI : Etats financiers exercice 2022,https://www.brvm.org/sites/default/files/20230405_-_etats_financiers_exercice_2022_-_boa_ci.pdf,21900.0,20069.0,47810.0,69968.0,843300.0,773332.0,0.0,,0.4580631667015268,0.4197657393850659,0.2868311227989938,0.0237981738408632,11.052652641207407,0.0829692873236096,,https://www.brvm.org/fr/rapports-societe-cotes/bank-africa-ci,verified_like,passes_rule_checks
BANK OF AFRICA CI,2023,2024.0,2024-03-14,ok,,,7,BOA CÔTE D'IVOIRE : Etats financiers - Exercice 2023,https://www.brvm.org/sites/default/files/20240314_-_etats_financiers_-_exercice_2023_-_boa_ci.pdf,21900.0,20069.0,47810.0,81726.0,843300.0,761574.0,48364.0,,0.4580631667015268,0.4197657393850659,0.2455644470547928,0.0237981738408632,9.318625651567432,0.0969121309142653,,https://www.brvm.org/fr/rapports-societe-cotes/bank-africa-ci,verified_like,passes_rule_checks
BANK OF AFRICA CI,2024,2025.0,2025-04-02,ok,,,7,BOA CÔTE D'IVOIRE :  Etats financiers - Exercice 2024,https://www.brvm.org/sites/default/files/20250402_-_etats_financiers_-_exercice_2024_-_boa_ci.pdf,31018.0,26075.0,60811.0,95800.0,938738.0,842938.0,37416.0,,0.5100721908865172,0.4287875548831625,0.2721816283924843,0.0277766533367137,8.79893528183716,0.1020519037260662,,https://www.brvm.org/fr/rapports-societe-cotes/bank-africa-ci,verified_like,passes_rule_checks
